"term","VIF"
"education3>HS",2.42
"education3HS/GED",1.98
"pir",1.38
"race_ethNH Black",1.36
"race_ethMexican American",1.35
"hPDI_sd",1.32
"age_years",1.32
"race_ethNH Asian",1.29
"energy_kcal",1.29
"race_ethOther Hispanic",1.23
"smoking3Current",1.23
"sexFemale",1.21
"smoking3Former",1.2
"supplement_anyYes",1.18
"met_min_wk",1.14
"race_ethOther/Multiracial",1.13
"alcohol_dpd",1.08
