"biomarker","PC1","PC2"
"waist",0.769,0.185
"log_tg",0.624,0.225
"hdl_rev_log",0.682,0.123
"log_glucose",0.197,0.921
"map",0.292,0.176
"log_insulin",0.739,0.221
"log_hba1c",0.156,0.936
"log_hscrp",0.56,0.12
"log_alt",0.5,-0.002
